EXPORTDAT,LAEDA,ERSDA,MATNR,MAKTG,MTART,MATKL,MEINS,CS_PAL,PAL_Anzahl,EA_Anzahl,PMU_Anzahl,ZUC_Anzahl,LAYERS_PAL,CS_LAYERS,/SCL/MIXED_PROD,/SCL/RET,Description /SCL/RET,/SCL/PKG,Description /SCL/PKG,/SCL/PSIZE,Description /SCL/PSIZE,/SCL/PTYPE,Bezeichung /SCL/PTYPE,/SCL/SLUN,Description /SCL/SLUN,/SCL/BRAND,Description /SCL/BRAND,MHDHB,MHDRZ,/SCL/RTD,/SCL/MATRTY_DUR,/SCL/SHLIFREQMAX,MFRPN,BRGEW,NTGEW,VOLUM,VOLEH,LAENG,BREIT,HOEHE,MEABM,/SCL/QUARTIME,MSTAE,/SCL/PROMI,Bezeichung /SCL/PROMI,/SCL/CATBRNDTY,Description /SCL/CATBRNDTY,/SCL/PLANNER_S,/SCL/PLANNER_S Description,/SCL/PKGGROUP,Description SCL_PKGGROUP,/SCL/STKFACTOR,STFAK,/SCL/BOARDOBJ,ALL_LOC_PRODUCTS_ND,FlTyp,SNP Planner Check,PG_Reporting,PAL,Description_PAL,Getränkeprodukt
44489,43297,41085,103542,"ALSF.ADQU.MED20/0,5L PEC",ZFER,55121600A,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,360,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8027
44489,43297,41085,103549,"ALSF.ADQU.ORI20/0,5L PEC",ZFER,55121600A,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,360,120,R,0,0,,12.32,12.32,10,L,400,300,280,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8026
44489,43297,41085,103550,"ALSF.ADQU.NAT20/0,5L PEC",ZFER,55121600A,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,360,120,R,0,0,,12.32,12.32,10,L,400,300,280,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8027
44489,43307,41085,103543,"VOGELSB.ORAN 20/0,5L PEC",ZFER,50202300,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,210,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8033
44489,43307,41085,103544,"VOGELSB.A.SCH20/0,5L PEC",ZFER,50202300,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,210,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8029
44489,43307,41085,103548,"VOGELSB.ACE-P20/0,5L PEC",ZFER,50202300,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,210,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8031
44489,43307,41085,103552,"VOGELSB.CO-MI20/0,5L PEC",ZFER,50202300,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,360,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8028
44489,43307,41085,103935,"VOGELSB.ISOSP20/0,5L PEC",ZFER,50202300,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,018,Plastikflasche,019,1-Ls 20,Z61,Alsfelder,210,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9102,HWPET,1,,YEL_2,yes,,,0,,,8029
44489,43543,41085,102750,"SOD.AQ CL.KH 20/0,5L PEC",ZFER,55121600A,KS,40,0.025,20,1,1.7612,,,,Z,EW FP: DPG in MW-Ki,2075,500-Ml Plas Btl Nr  1-Ls 20,472,500 ML,Z15,Plastikflasche PETCycle DPG,019,1-Ls 20,B6G,Sodenthaler,360,120,R,0,0,,12.32,12.32,10,L,400,300,282,MM,0,01,P,Werbeartikel,CLOSED,Gesperrt /SKU Reduziert,,,4110,SN050,1,,YEL_2,yes,,,SOD,,,A3Y4
44489,43543,41085,102760,"SOD.AQU.BIRNE12/1,0L PEC",ZFER,55121600A,KS,40,0.025,12,1,2.1134,,,,Z,EW FP: DPG in MW-Ki,0014,1-Ltr Plas Btl Nr  1-Ls 12,007,1 LTR,Z15,Plastikflasche PETCycle DPG,012,1-Ls 12,B6G,Sodenthaler,210,120,R,0,0,,14.5,14.5,12,L,405,300,310,MM,120,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,4114,SN100,1,,BLU_3,yes,,,SOD,,,A4KV
