Material,Plant,Task List Type,Group,Group Counter,Valid From,Short Text,Language Key,Deletion Indicator,Base Quantity,Act./Operation UoM,Standard Value,Standard value unit,Standard Value2,Standard value unit3,Standard Value4,Standard value unit5,User field quantity,User field quantity6,Setup group category,Work center,Relevant
200078,0279,2,0279_BP1,2,40909,Abfuellen PET,,,1,CS,,,,,,,0,0,,,
200078,0279,2,0279-9MK,44,40909,BP Rezept 2019,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200080,0279,2,0279-9MK,45,40909,BP Rezept 2019,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200100,0279,2,0279-9MK,46,43101,BP Rezept 2019,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200081,0279,2,0279-9MK,50,43466,BP Rezept 2020,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200082,0279,2,0279-9MK,51,43466,BP Rezept 2020,,,1850,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200083,0279,2,0279-9MK,52,43466,BP Rezept 2020,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200100,0279,2,0279-9MK,53,43466,BP Rezept 2020,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200382,0279,2,0279-9MK,54,43466,BP Rezept 2020,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201131,0279,2,0279-9MK,56,43466,BP Rezept 2020,,,1850,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201184,0279,2,0279-9MK,57,43466,BP Rezept 2020,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201222,0279,2,0279-9MK,58,43466,BP Rezept 2020,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203025,0279,2,0279-9MK,59,43466,BP Rezept 2020,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203043,0279,2,0279-9MK,60,43466,BP Rezept 2020,,,1850,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203036,0279,2,0279-9MK,61,43466,BP Rezept 2020,,,1850,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200078,0279,2,0279-9MK,62,43831,BP Rezept 2021,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200100,0279,2,0279-9MK,63,43831,BP Rezept 2021,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200938,0279,2,0279-9MK,64,43831,BP Rezept 2021,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201131,0279,2,0279-9MK,66,43831,BP Rezept 2021,,,1850,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200382,0279,2,0279-9ML,36,43101,BP Rezept 2019,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200082,0279,2,0279-9ML,38,43101,BP Rezept 2019,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200991,0279,2,0279-9ML,39,43101,BP Rezept 2019,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200083,0279,2,0279-9ML,40,43101,BP Rezept 2019,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200081,0279,2,0279-9ML,41,43101,BP Rezept 2019,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200079,0279,2,0279-9ML,42,43101,BP Rezept 2019,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201184,0279,2,0279-9ML,43,43101,BP Rezept 2019,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200078,0279,2,0279-9ML,44,43466,BP Rezept 2020,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200079,0279,2,0279-9ML,45,43466,BP Rezept 2020,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200079,0279,2,0279-9ML,59,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200080,0279,2,0279-9ML,60,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200081,0279,2,0279-9ML,61,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200082,0279,2,0279-9ML,62,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200083,0279,2,0279-9ML,63,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200382,0279,2,0279-9ML,64,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201101,0279,2,0279-9ML,65,43831,BP Rezept 2021,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201184,0279,2,0279-9ML,66,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201222,0279,2,0279-9ML,67,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
203025,0279,2,0279-9ML,68,43831,BP Rezept 2021,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200078,0279,2,0279_BP1,2,40909,Abfuellen PET,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
13010744,0279,2,0279_SY1,44,42370,Herstellung Sirup NEU,,,1,L,,,,,,,0,0,,,
200079,0279,2,0279_BP1,3,40909,Abfuellen PET,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200080,0279,2,0279_BP1,4,40909,Abfuellen PET,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200081,0279,2,0279_BP1,5,40909,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200082,0279,2,0279_BP1,6,40909,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200083,0279,2,0279_BP1,7,40909,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200100,0279,2,0279_BP1,9,40909,Abfuellen PET,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200938,0279,2,0279_BP1,23,40909,Abfuellen PET,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200991,0279,2,0279_BP1,25,40909,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201101,0279,2,0279_BP1,39,40909,Abfuellen PET,,,1800,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201184,0279,2,0279_BP1,47,40909,Abfuellen PET,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201222,0279,2,0279_BP1,48,40909,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
200382,0279,2,0279_BP1,49,41275,Abfuellen PET,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
201101,0279,2,0279_BP1,54,42370,Abfuellen PET ML,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201222,0279,2,0279_BP1,55,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200938,0279,2,0279_BP1,56,42370,Abfuellen PET ML,,,1815,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200100,0279,2,0279_BP1,57,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200080,0279,2,0279_BP1,58,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200382,0279,2,0279_BP1,59,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200082,0279,2,0279_BP1,62,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200991,0279,2,0279_BP1,63,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200083,0279,2,0279_BP1,66,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200081,0279,2,0279_BP1,67,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200079,0279,2,0279_BP1,68,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
200078,0279,2,0279_BP1,69,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
201184,0279,2,0279_BP1,70,42370,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
203025,0279,2,0279_BP1,71,43101,Abfuellen PET,,,1700,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203025,0279,2,0279_BP1,72,43101,Abfuellen PET ML,,,1950,CS,45,MIN,60,,420,,2750,2750,,BPETML,
203578,0279,2,0279_BP1,73,44197,Abfuellen PET Coke Zero Lem,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203578,0279,2,0279_BP1,74,44197,Abfuellen PET Coke Zero Lem,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
203578,0279,2,0279_BP1,75,44197,Abfuellen PET Coke Zero Lem,,,1900,CS,45,MIN,60,,420,,2750,2750,,BPETMK,
13010022,0279,2,0279_SY1,1,40909,Herstellung Sirup,,,133200,L,0,MIN,60,,60,,133200,133200,,SYRP01,
13010032,0279,2,0279_SY1,9,40909,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010035,0279,2,0279_SY1,11,40909,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010036,0279,2,0279_SY1,12,40909,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010042,0279,2,0279_SY1,17,40909,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010043,0279,2,0279_SY1,18,40909,Herstellung Sirup,,,25000,L,10,MIN,60,,60,,25000,25000,,SYRP01,
13010044,0279,2,0279_SY1,20,40909,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010744,0279,2,0279_SY1,44,42370,Herstellung Sirup NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
201636,0280,2,0280-9P3,45,43466,BP Rezept 2020,,,1,CS,,,,,,,0,0,,,
13010773,0279,2,0279_SY1,45,42736,Herstellung Sirup NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010842,0279,2,0279_SY1,49,43101,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010850,0279,2,0279_SY1,52,43466,Herstellung Sirup Fanta Orange OZ,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010867,0279,2,0279_SY1,55,43466,Herstellung Sirup Sprite NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010919,0279,2,0279_SY1,57,43831,Herstellung Sirup NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010925,0279,2,0279_SY1,58,43831,Herstellung Sirup 8Brix,,,133200,L,0,MIN,60,,60,,133200,133200,,SYRP01,
13010971,0279,2,0279_SY1,59,44197,Herstellung Sirup,,,25000,L,10,MIN,60,,60,,25000,25000,,SYRP01,
13010977,0279,2,0279_SY1,60,44197,Herstellung Sirup NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010620,0279,2,0279_SY1,61,44197,Herstellung Sirup,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010986,0279,2,0279_SY1,62,44197,Herstellung Sirup Sprite NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010984,0279,2,0279_SY1,63,44197,Herstellung Sirup,,,25000,L,10,MIN,60,,60,,25000,25000,,SYRP01,
13010995,0279,2,0279_SY1,66,44197,Herstellung Sirup NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010997,0279,2,0279_SY1,67,44197,Herstellung Sirup Sprite 5 UN,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13011016,0279,2,0279_SY1,68,44197,Herstellung Sirup CCZEKFR NEU,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13011016,0279,2,0279_SY1,69,44197,Herstellung Sirup CCZELEM,,X,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13011040,0279,2,0279_SY1,70,44197,Herstellung Sirup CCZELEM,,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
13010995,0279,2,0279_SY1,71,44197,"Herstellung Sirup SY  SPZ     1+5,5 SP/D",,,25000,L,0,MIN,60,,60,,25000,25000,,SYRP01,
200479,0280,2,0280-9LB,20,43466,BP Rezept 2020,,,95,CS,30,MIN,60,,300,,150,150,,BPETP3,
200030,0280,2,0280-9LB,21,43466,BP Rezept 2020,,,1600,CS,0,MIN,60,,300,,2000,2000,,BPETP4,
200031,0280,2,0280-9LB,22,43466,BP Rezept 2020,,,1388,CS,0,MIN,60,,300,,1555,1555,,BPETP4,
200032,0280,2,0280-9LB,23,43466,BP Rezept 2020,,,3000,CS,0,MIN,60,,300,,4166,4166,,BPETP4,
200479,0280,2,0280-9LB,24,43831,BP Rezept 2021,,,100,CS,30,MIN,60,,300,,150,150,,BPETP3,
200030,0280,2,0280-9LB,25,43831,BP Rezept 2021,,,1600,CS,0,MIN,60,,300,,2000,2000,,BPETP4,
200031,0280,2,0280-9LB,26,43831,BP Rezept 2021,,,1388,CS,0,MIN,60,,300,,1555,1555,,BPETP4,
200032,0280,2,0280-9LB,27,43831,BP Rezept 2021,,,3000,CS,0,MIN,60,,300,,4166,4166,,BPETP4,
202919,0280,2,0280-9P2,47,43466,BP Rezept 2020,,,5500,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202919,0280,2,0280-9P2,57,43831,BP Rezept 2021,,,5500,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
203075,0280,2,0280-9P2,58,43831,BP Rezept 2021,,,6300,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
201652,0280,2,0280-9P3,31,43101,BP Rezept 2019,,,3600,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
201636,0280,2,0280-9P3,32,43101,BP Rezept 2019,,,3800,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
200029,0280,2,0280-9P3,34,43101,BP Rezept 2019,,,3600,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202726,0280,2,0280-9P3,37,43101,BP Rezept 2019,,,1777,CS,30,MIN,60,,300,,2222,2222,,BPETP3,
202723,0280,2,0280-9P3,38,43101,BP Rezept 2019,,,3500,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202725,0280,2,0280-9P3,39,43101,BP Rezept 2019,,,3500,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
201633,0280,2,0280-9P3,41,43466,BP Rezept 2020,,,1777,CS,30,MIN,60,,240,,2222,2222,,BPETP3,
202726,0280,2,0280-9P3,42,43466,BP Rezept 2020,,,1777,CS,30,MIN,60,,300,,2222,2222,,BPETP3,
200029,0280,2,0280-9P3,43,43466,BP Rezept 2020,,,3400,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
201636,0280,2,0280-9P3,45,43466,BP Rezept 2020,,,3500,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
202521,0280,2,0280-9P6,24,43831,BP Rezept 2021,,,1,CS,,,,,,,0,0,,,
201652,0280,2,0280-9P3,46,43466,BP Rezept 2020,,,3600,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
202723,0280,2,0280-9P3,47,43466,BP Rezept 2020,,,4000,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202725,0280,2,0280-9P3,49,43466,BP Rezept 2020,,,3500,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
200029,0280,2,0280-9P3,50,43831,BP Rezept 2021,,,3400,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
201633,0280,2,0280-9P3,51,43831,BP Rezept 2021,,,1850,CS,30,MIN,60,,240,,2222,2222,,BPETP3,
201636,0280,2,0280-9P3,52,43831,BP Rezept 2021,,,3900,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
201652,0280,2,0280-9P3,53,43831,BP Rezept 2021,,,3600,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
202723,0280,2,0280-9P3,54,43831,BP Rezept 2021,,,4000,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202725,0280,2,0280-9P3,55,43831,BP Rezept 2021,,,3600,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202726,0280,2,0280-9P3,56,43831,BP Rezept 2021,,,1777,CS,30,MIN,60,,300,,2222,2222,,BPETP3,
200031,0280,2,0280-9P4,4,43101,BP Rezept 2019,,,1666,CS,0,MIN,60,,300,,1555,1555,,BPETP4,
203100,0280,2,0280-9P4,7,43466,BP Rezept 2020,,,80,CS,30,MIN,60,,300,,109,109,,BPETP4,
202890,0280,2,0280-9P5,23,43101,BP Rezept 2019,,,500,CS,30,MIN,60,,360,,833,833,,BRGBP5,
202524,0280,2,0280-9P5,24,43101,BP Rezept 2019,,,500,CS,30,MIN,60,,360,,833,833,,BRGBP5,
200510,0280,2,0280-9P5,25,43101,BP Rezept 2019,,,666,CS,30,MIN,60,,240,,833,833,,BRGBP5,
200512,0280,2,0280-9P5,26,43466,BP Rezept 2020,,,750,CS,30,MIN,60,,240,,1083,1083,,BRGBP5,
200512,0280,2,0280-9P6,2,43101,BP Rezept 2019,,,750,CS,0,MIN,60,,240,,60,60,,BRGBP6,
202520,0280,2,0280-9P6,3,43101,BP Rezept 2019,,,500,CS,0,MIN,60,,360,,60,60,,BRGBP6,
202521,0280,2,0280-9P6,4,43101,BP Rezept 2019,,,500,CS,0,MIN,60,,360,,60,60,,BRGBP6,
200510,0280,2,0280-9P6,5,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,240,,2500,2500,,BRGBP6,
202520,0280,2,0280-9P6,6,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202521,0280,2,0280-9P6,7,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202524,0280,2,0280-9P6,8,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202890,0280,2,0280-9P6,9,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202518,0280,2,0280-9P6,10,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202522,0280,2,0280-9P6,11,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,833,833,,BRGBP6,
203136,0280,2,0280-9P6,12,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202277,0280,2,0280-9P6,14,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,240,,833,833,,BRGBP6,
202278,0280,2,0280-9P6,15,43466,BP Rezept 2020,,,1600,CS,30,MIN,60,,240,,3500,3500,,BRGBP6,
