Plant,Matrix,Setup Grp. From,Setup Grp. To,Duration,Dur. Unit,Valid,KEY,Work Center,Cleaning
0279,0279_BPETMK         ,,200078,45,MIN,n,BPETMK200078n,BPETMK,
0279,0279_BPETMK         ,,200079,45,MIN,n,BPETMK200079n,BPETMK,
0279,0279_BPETMK         ,,200080,45,MIN,n,BPETMK200080n,BPETMK,
0279,0279_BPETMK         ,,200081,45,MIN,n,BPETMK200081n,BPETMK,
0279,0279_BPETMK         ,,200082,45,MIN,n,BPETMK200082n,BPETMK,
0279,0279_BPETMK         ,,200083,45,MIN,n,BPETMK200083n,BPETMK,
0279,0279_BPETMK         ,,200100,45,MIN,n,BPETMK200100n,BPETMK,
0279,0279_BPETMK         ,,200382,45,MIN,n,BPETMK200382n,BPETMK,
0279,0279_BPETMK         ,,200938,45,MIN,n,BPETMK200938n,BPETMK,
0279,0279_BPETMK         ,,200991,45,MIN,n,BPETMK200991n,BPETMK,
0279,0279_BPETMK         ,,201101,45,MIN,n,BPETMK201101n,BPETMK,
0279,0279_BPETMK         ,,201131,45,MIN,n,BPETMK201131n,BPETMK,
0279,0279_BPETMK         ,,201184,45,MIN,n,BPETMK201184n,BPETMK,
0279,0279_BPETMK         ,,201222,45,MIN,n,BPETMK201222n,BPETMK,
0279,0279_BPETMK         ,,AAA01                                   ,45,MIN,n,BPETMKAAA01n,BPETMK,
0279,0279_BPETMK         ,,203036,45,MIN,n,BPETMK203036n,BPETMK,
0279,0279_BPETMK         ,,203043,45,MIN,n,BPETMK203043n,BPETMK,
0279,0279_BPETMK         ,200078,200078,0,MIN,n,BPETMK200078n,BPETMK,
0279,0279_BPETMK         ,200078,200079,45,MIN,y,BPETMK200079y,BPETMK,
0279,0279_BPETMK         ,200078,200080,45,MIN,y,BPETMK200080y,BPETMK,
0279,0279_BPETMK         ,200078,200081,60,MIN,y,BPETMK200081y,BPETMK,
0279,0279_BPETMK         ,200078,200082,240,MIN,y,BPETMK200082y,BPETMK,
0279,0279_BPETMK         ,200078,200083,60,MIN,y,BPETMK200083y,BPETMK,
0279,0279_BPETMK         ,200078,200100,45,MIN,y,BPETMK200100y,BPETMK,
0279,0279_BPETMK         ,200078,200382,45,MIN,y,BPETMK200382y,BPETMK,
0279,0279_BPETMK         ,200078,200938,45,MIN,y,BPETMK200938y,BPETMK,
0279,0279_BPETMK         ,200078,200991,60,MIN,y,BPETMK200991y,BPETMK,
0279,0279_BPETMK         ,200078,201101,45,MIN,y,BPETMK201101y,BPETMK,
0279,0279_BPETMK         ,200078,201131,60,MIN,y,BPETMK201131y,BPETMK,
0279,0279_BPETMK         ,200078,201184,45,MIN,y,BPETMK201184y,BPETMK,
0279,0279_BPETMK         ,200078,201222,60,MIN,y,BPETMK201222y,BPETMK,
0279,0279_BPETMK         ,200078,AAA01                                   ,45,MIN,y,BPETMKAAA01y,BPETMK,
0279,0279_BPETMK         ,200078,AAA02                                   ,45,MIN,y,BPETMKAAA02y,BPETMK,
0279,0279_BPETMK         ,200078,203025,60,MIN,y,BPETMK203025y,BPETMK,
0279,0279_BPETMK         ,200078,203036,45,MIN,y,BPETMK203036y,BPETMK,
0279,0279_BPETMK         ,200078,203043,45,MIN,y,BPETMK203043y,BPETMK,
0279,0279_BPETMK         ,200078,203051,45,MIN,y,BPETMK203051y,BPETMK,
0279,0279_BPETMK         ,200078,203053,45,MIN,y,BPETMK203053y,BPETMK,
0279,0279_BPETMK         ,200079,200078,45,MIN,y,BPETMK200078y,BPETMK,
0279,0279_BPETMK         ,200079,200079,0,MIN,n,BPETMK200079n,BPETMK,
0279,0279_BPETMK         ,200079,200080,45,MIN,y,BPETMK200080y,BPETMK,
0279,0279_BPETMK         ,200079,200081,60,MIN,y,BPETMK200081y,BPETMK,
0279,0279_BPETMK         ,200079,200082,60,MIN,y,BPETMK200082y,BPETMK,
0279,0279_BPETMK         ,200079,200083,60,MIN,y,BPETMK200083y,BPETMK,
0279,0279_BPETMK         ,200079,200100,45,MIN,y,BPETMK200100y,BPETMK,
0279,0279_BPETMK         ,200079,200382,45,MIN,y,BPETMK200382y,BPETMK,
0279,0279_BPETMK         ,200079,200938,45,MIN,y,BPETMK200938y,BPETMK,
0279,0279_BPETMK         ,200079,200991,60,MIN,y,BPETMK200991y,BPETMK,
0279,0279_BPETMK         ,200079,201101,45,MIN,y,BPETMK201101y,BPETMK,
0279,0279_BPETMK         ,200079,201131,60,MIN,y,BPETMK201131y,BPETMK,
0279,0279_BPETMK         ,200079,201184,45,MIN,y,BPETMK201184y,BPETMK,
0279,0279_BPETMK         ,200079,201222,60,MIN,y,BPETMK201222y,BPETMK,
0279,0279_BPETMK         ,200079,AAA01                                   ,45,MIN,y,BPETMKAAA01y,BPETMK,
0279,0279_BPETMK         ,200079,AAA02                                   ,45,MIN,y,BPETMKAAA02y,BPETMK,
0279,0279_BPETMK         ,200079,203025,60,MIN,y,BPETMK203025y,BPETMK,
0279,0279_BPETMK         ,200079,203036,45,MIN,y,BPETMK203036y,BPETMK,
0279,0279_BPETMK         ,200079,203043,45,MIN,y,BPETMK203043y,BPETMK,
0279,0279_BPETMK         ,200079,203051,45,MIN,y,BPETMK203051y,BPETMK,
0279,0279_BPETMK         ,200079,203053,45,MIN,y,BPETMK203053y,BPETMK,
0279,0279_BPETMK         ,200080,200078,45,MIN,y,BPETMK200078y,BPETMK,
0279,0279_BPETMK         ,200080,200079,45,MIN,y,BPETMK200079y,BPETMK,
0279,0279_BPETMK         ,200080,200080,0,MIN,n,BPETMK200080n,BPETMK,
0279,0279_BPETMK         ,200080,200081,60,MIN,y,BPETMK200081y,BPETMK,
0279,0279_BPETMK         ,200080,200082,60,MIN,y,BPETMK200082y,BPETMK,
0279,0279_BPETMK         ,200080,200083,60,MIN,y,BPETMK200083y,BPETMK,
0279,0279_BPETMK         ,200080,200100,45,MIN,y,BPETMK200100y,BPETMK,
0279,0279_BPETMK         ,200080,200382,45,MIN,y,BPETMK200382y,BPETMK,
0279,0279_BPETMK         ,200080,200938,45,MIN,y,BPETMK200938y,BPETMK,
0279,0279_BPETMK         ,200080,200991,60,MIN,y,BPETMK200991y,BPETMK,
0279,0279_BPETMK         ,200080,201101,45,MIN,y,BPETMK201101y,BPETMK,
0279,0279_BPETMK         ,200080,201131,60,MIN,y,BPETMK201131y,BPETMK,
0279,0279_BPETMK         ,200080,201184,45,MIN,y,BPETMK201184y,BPETMK,
0279,0279_BPETMK         ,200080,201222,60,MIN,y,BPETMK201222y,BPETMK,
0279,0279_BPETMK         ,200080,AAA01                                   ,45,MIN,y,BPETMKAAA01y,BPETMK,
0279,0279_BPETMK         ,200080,AAA02                                   ,45,MIN,y,BPETMKAAA02y,BPETMK,
0279,0279_BPETMK         ,200080,203025,60,MIN,y,BPETMK203025y,BPETMK,
0279,0279_BPETMK         ,200080,203036,45,MIN,y,BPETMK203036y,BPETMK,
0279,0279_BPETMK         ,200080,203043,45,MIN,y,BPETMK203043y,BPETMK,
0279,0279_BPETMK         ,200080,203051,45,MIN,y,BPETMK203051y,BPETMK,
0279,0279_BPETMK         ,200080,203053,45,MIN,y,BPETMK203053y,BPETMK,
0279,0279_BPETMK         ,200081,200078,60,MIN,y,BPETMK200078y,BPETMK,
0279,0279_BPETMK         ,200081,200079,60,MIN,y,BPETMK200079y,BPETMK,
0279,0279_BPETMK         ,200081,200080,60,MIN,y,BPETMK200080y,BPETMK,
0279,0279_BPETMK         ,200081,200081,0,MIN,n,BPETMK200081n,BPETMK,
0279,0279_BPETMK         ,200081,200082,240,MIN,y,BPETMK200082y,BPETMK,
0279,0279_BPETMK         ,200081,200083,45,MIN,y,BPETMK200083y,BPETMK,
0279,0279_BPETMK         ,200081,200100,60,MIN,y,BPETMK200100y,BPETMK,
0279,0279_BPETMK         ,200081,200382,60,MIN,y,BPETMK200382y,BPETMK,
0279,0279_BPETMK         ,200081,200938,60,MIN,y,BPETMK200938y,BPETMK,
0279,0279_BPETMK         ,200081,200991,45,MIN,y,BPETMK200991y,BPETMK,
0279,0279_BPETMK         ,200081,201101,60,MIN,y,BPETMK201101y,BPETMK,
0279,0279_BPETMK         ,200081,201131,45,MIN,y,BPETMK201131y,BPETMK,
0279,0279_BPETMK         ,200081,201184,60,MIN,y,BPETMK201184y,BPETMK,
0279,0279_BPETMK         ,200081,201222,45,MIN,y,BPETMK201222y,BPETMK,
0279,0279_BPETMK         ,200081,AAA01                                   ,45,MIN,y,BPETMKAAA01y,BPETMK,
0279,0279_BPETMK         ,200081,AAA02                                   ,45,MIN,y,BPETMKAAA02y,BPETMK,
0279,0279_BPETMK         ,200081,203025,45,MIN,y,BPETMK203025y,BPETMK,
0279,0279_BPETMK         ,200081,203036,60,MIN,y,BPETMK203036y,BPETMK,
0279,0279_BPETMK         ,200081,203043,60,MIN,y,BPETMK203043y,BPETMK,
